member_id,first_name,last_name,birth_date,gender,plan_id,effective_date
1001,John,Doe,1980-03-21,M,PLN101,2020-01-01
1002,Jane,Smith,1990-07-12,F,PLN102,2019-06-10
1003,Paul,White,1975-11-23,M,PLN101,2018-05-15
1004,Emily,Jones,1985-02-10,F,PLN102,2020-04-02
1005,Alice,Brown,1992-01-18,F,PLN103,2019-08-19
1006,Robert,Stone,1978-09-09,M,PLN101,2020-11-10
1007,Olivia,Simms,1988-06-04,F,PLN102,2020-03-01
1008,David,Ryan,1995-12-25,M,PLN104,2021-07-20
1009,Linda,Scott,1982-03-14,F,PLN101,2019-01-01
1010,Mark,Lee,1979-05-26,M,PLN103,2020-09-15
1011,Nina,Park,1984-10-02,F,PLN102,2020-12-10
1012,Kevin,Kim,1990-07-30,M,PLN101,2021-01-01
1013,Sara,Fong,1986-03-04,F,PLN101,2021-02-01
1014,Chris,Lang,1977-04-11,M,PLN105,2021-03-12
1015,Rachel,Grant,2001-06-22,F,PLN105,2021-05-01
